"id","zone_erm_id","shop_class_id","city_id","manager_id","cm","name","address","phone"
"1","1","1","6186","1","3044","Bourges VI","ZAC DE VARENNE RUE NICEPHORE NIEPCE","02-48-48-19-50"
"2","1","2","2989","2","3152","Foix Barcelone","16 AVENUE DE BARCELONE","05-61-65-01-41"
"3","1","2","3026","3","3182","Lavelanet","94 RUE GENERAL DE GAULLE","05-61-01-03-58"
"4","1","2","4200","4","3227","Millau","570 AVENUE DE L EUROPE","05-65-60-05-56"
"5","1","2","4230","167","3259","Onet le château","RUE DE LAPANOUSE POLE COMMERCIAL COMTAL OUEST","05-65-67-07-43"
"6","1","1","4257","168","3289","Rodez VI","ROUTE D ESPALION PARC ST MARC","05-65-78-74-71"
"7","1","2","3132","6","3312","Saint Lizier","CHANTEREINE","05-34-14-34-90"
"8","2","3","6366","7","3045","Bourges VL","ROUTE DE LA CHARITE Z.I.","02-48-27-51-60"
"9","2","3","24969","8","3076","Clermont Aubière VL","49, AVENUE LAVOISIER ZAC DES VARENNES","04-73-26-03-04"
"10","2","3","25066","9","3077","Clermont Clementel VL","238, BLD ETIENNE CLEMENTEL","04-73-16-12-20"
"11","2","3","25066","169","3078","Clermont Kepler VL","2 RUE KEPLER","04-73-14-55-40"
"12","2","3","25066","10","3080","Clermont Rosier VL","53  BD JEAN BAPTISTE DUMAS","04-63-30-10-30"
"13","2","3","2989","11","3151","Foix","33, AVENUE DU MARECHAL LECLERC","05-34-09-34-80"
"14","2","3","3887","170","3249","Narbonne VL","RUE DU REC DE VEYRET","04-68-42-54-90"
"15","2","3","26573","171","3263","Perpignan Dalbiez VL","33, AVENUE VICTOR DALBIEZ","04-68-54-57-78"
"16","2","3","26573","13","3265","Perpignan VL","Z.I. ST CHARLES AVENUE DE SAINT CHARLES","04-68-54-30-11"
"17","2","3","4257","5","3290","Rodez VL","PARC SAINT-MARC ROUTE D ESPALION","05-65-67-16-11"
"18","3","3","5068","14","3024","Aurillac","96 AVENUE CONTHE","04-71-63-90-04"
"19","3","1","5068","172","3433","Aurillac Lacoste VI","ZI de Baradel 4 Rue Gabriel Lacoste","04-71-48-14-11"
"20","3","2","5162","173","3435","Mauriac","Rue du 19 Mars 1962","04-71-68-09-81"
"21","3","2","5227","15","3432","Saint Flour","Zone d'activite de Volzac","04-71-60-13-11"
"22","4","2","13147","16","3037","Beziers","AVENUE DE LA DEVEZE Z.I. DU CAPISCOLE","04-67-35-86-00"
"23","4","1","3887","17","3248","Narbonne VI","5, RUE MARIUS BERLIET Z.I. CROIX SUD","04-68-42-59-80"
"24","4","1","26573","18","3264","Perpignan Saint Charles VI","RUE DE MUNICH Z.I. ST CHARLES","04-68-68-38-80"
"25","5","1","25066","19","3079","Clermont Lumière VI","14 RUE DES FRERES LUMIERE Z.I. DU BREZET","04-73-14-60-10"
"26","5","2","25380","20","3339","Thiers","AVENUE LEO LAGRANGE Z.I. LES MOLLES","04-73-80-15-97"
"27","6","2","3696","21","3057","Carcassonne","Z.I. DE LA BOURIETTE","04-68-11-47-60"
"28","6","2","3703","22","3060","Castelnaudary","98, AV. MONSEIGNEUR DELANGLE RTE DE CARCASSONNE","04-68-23-11-44"
"29","6","2","3703","174","3441","Castelnaudary Sabatier","295 RUE PAUL SABATIER ZI","04-68-60-32-75"
"30","6","2","3090","23","3260","Pamiers","43, AVENUE DE LA RIJOLE Z.I.","05-34-01-37-10"
"31","7","3","1406","175","3242","Moulins Sud VL","103, ROUTE DE LYON","04-70-46-31-42"
"32","7","2","1401","25","3236","Montluçon","1, RUE DE BLANZAT","04-70-08-43-30"
"33","7","1","1501","24","3241","Moulins Avermes VI","PARC D ACTIVITE LOGISTIQUE SUD ZAC DES GRIS","04-70-46-90-81"
"34","7","4","1525","24","3397","Base av. Vichy-Creuzier le neuf","ZA des Ancises 2","04-70-46-90-81"
"35","7","2","22191","26","3252","Nevers","3, RUE DU PETIT MOUESSE","03-86-93-09-40"
"36","8","2","34587","176","3025","Auxerre","14, ALLEE DES FRERES LUMIERE","03-86-18-00-40"
